"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cell projection morphogenesis","GO:0048858","false","0.00006608237863831785","4.179914332956081","720","38","10","27205","SLITRK6,PLXNA4,NRXN1,DMD,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","cell part morphogenesis","GO:0032990","false","0.00009804988751574362","4.0085529002248546","751","38","10","27205","SLITRK6,PLXNA4,NRXN1,DMD,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","false","0.00018799416329343794","3.725855634187395","280","38","7","27205","FAT4,FAT3,ESAM,NRXN1,DSCAM,NLGN1,CNTN5"
"GO:BP","cell morphogenesis","GO:0000902","false","0.0002098208463002669","3.678151365601866","1048","38","11","27205","SLITRK6,FAT3,PLXNA4,NRXN1,DMD,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","cellular component morphogenesis","GO:0032989","false","0.00031327666745143345","3.504071949754226","851","38","10","27205","SLITRK6,PLXNA4,NRXN1,DMD,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","cell morphogenesis involved in differentiation","GO:0000904","false","0.0008766384156649825","3.05717950180234","722","38","9","27205","SLITRK6,FAT3,PLXNA4,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","regulation of neuron projection development","GO:0010975","false","0.0012584561217437197","2.900161922282314","547","38","8","27205","FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,NLGN1,SLIT2"
"GO:BP","presynapse assembly","GO:0099054","false","0.0018075908598469582","2.742899863362116","55","38","4","27205","SLITRK6,NRXN1,NLGN1,CNTN5"
"GO:BP","presynapse organization","GO:0099172","false","0.003131871978029706","2.5041959989677385","63","38","4","27205","SLITRK6,NRXN1,NLGN1,CNTN5"
"GO:BP","cell-cell adhesion involved in synapse maturation","GO:0090125","false","0.003275486627376688","2.484724169295198","2","38","2","27205","NRXN1,NLGN1"
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","false","0.004203304150316573","2.3764091833885654","643","38","8","27205","SLITRK6,PLXNA4,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","regulation of biological quality","GO:0065008","true","0.004633326928441534","2.334107054813284","3244","38","16","27205","SLITRK6,PRR16,ADCY8,PLXNA4,ESAM,NRXN1,DMD,DSCAM,GRIN2B,GABRB1,NETO1,TACR3,RYR3,PRKG1,NLGN1,SLIT2"
"GO:BP","cell junction assembly","GO:0034329","false","0.005073747963211053","2.294671110016393","458","38","7","27205","SLITRK6,ESAM,NRXN1,EPHA3,DSCAM,NLGN1,CNTN5"
"GO:BP","homophilic cell adhesion via plasma membrane adhesion molecules","GO:0007156","false","0.006208459874158948","2.20701612141924","168","38","5","27205","FAT4,FAT3,ESAM,DSCAM,CNTN5"
"GO:BP","cell-cell adhesion","GO:0098609","false","0.00663971119242268","2.1778508107321306","923","38","9","27205","FAT4,FAT3,ESAM,NRXN1,DSCAM,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","regulation of negative chemotaxis","GO:0050923","true","0.009817790432541015","2.0079862424502863","3","38","2","27205","PLXNA4,SLIT2"
"GO:BP","regulation of neuromuscular synaptic transmission","GO:1900073","false","0.009817790432541015","2.0079862424502863","3","38","2","27205","NRXN1,NLGN1"
"GO:BP","positive regulation of neuromuscular synaptic transmission","GO:1900075","true","0.009817790432541015","2.0079862424502863","3","38","2","27205","NRXN1,NLGN1"
"GO:BP","cellular response to calcium ion","GO:0071277","true","0.011425815169384143","1.9421128056181798","87","38","4","27205","ADCY8,NRXN1,RYR3,NLGN1"
"GO:BP","regulation of plasma membrane bounded cell projection organization","GO:0120035","false","0.011696971135498847","1.9319265817952707","739","38","8","27205","FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,NLGN1,SLIT2"
"GO:BP","regulation of cell projection organization","GO:0031344","false","0.01341322479526296","1.8724667969120317","753","38","8","27205","FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,NLGN1,SLIT2"
"GO:BP","axon development","GO:0061564","false","0.013858864907012398","1.8582723386136952","534","38","7","27205","SLITRK6,PLXNA4,DSCAM,NCAM2,PRKG1,SLIT2,CNTN5"
"GO:BP","cell development","GO:0048468","false","0.016344746048727675","1.7866218227430208","3139","38","15","27205","SLITRK6,FAT4,FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,GABRB1,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","synapse assembly","GO:0007416","false","0.018379420210197398","1.7356681928129911","210","38","5","27205","SLITRK6,NRXN1,DSCAM,NLGN1,CNTN5"
"GO:BP","cell junction organization","GO:0034330","false","0.02044785782582846","1.689352183165318","798","38","8","27205","SLITRK6,PLXNA4,ESAM,NRXN1,EPHA3,DSCAM,NLGN1,CNTN5"
"GO:BP","system development","GO:0048731","false","0.022197401389695982","1.6536978646562286","4115","38","17","27205","SLITRK6,FAT4,FAT3,PLXNA4,VWC2L,NRXN1,DMD,EPHA3,DSCAM,GABRB1,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTNAP5A,CNTN5"
"GO:BP","axon extension involved in axon guidance","GO:0048846","true","0.03535342364872702","1.4515685224681292","38","38","3","27205","PLXNA4,DSCAM,SLIT2"
"GO:BP","neuron projection extension involved in neuron projection guidance","GO:1902284","false","0.03535342364872702","1.4515685224681292","38","38","3","27205","PLXNA4,DSCAM,SLIT2"
"GO:BP","positive regulation of excitatory postsynaptic potential","GO:2000463","true","0.03826262887072297","1.4172251946634855","39","38","3","27205","NRXN1,NETO1,NLGN1"
"GO:BP","response to salt","GO:1902074","true","0.03931744424021954","1.4054147204544538","417","38","6","27205","ADCY8,NRXN1,DMD,TACR3,RYR3,NLGN1"
"GO:BP","regulation of presynapse assembly","GO:1905606","false","0.04132513767867335","1.3837856908602413","40","38","3","27205","SLITRK6,NRXN1,NLGN1"
"GO:BP","NMDA glutamate receptor clustering","GO:0097114","true","0.04895916123283167","1.310166031121342","6","38","2","27205","NRXN1,NLGN1"
"GO:BP","positive regulation of cell projection organization","GO:0031346","false","0.04982375110905191","1.3025635785932546","435","38","6","27205","PLXNA4,NRXN1,DMD,EPHA3,DSCAM,NLGN1"
"GO:CC","synaptic membrane","GO:0097060","true","0.0000062015281079843576","5.207501283551045","485","40","9","27262","ADCY8,NRXN1,DMD,GRIN2B,GABRB1,NETO1,NLGN1,GRIK1,CNTN5"
"GO:CC","cell periphery","GO:0071944","false","0.000008748355699286133","5.058073567301447","7048","40","27","27262","GSG1L2,SLITRK6,FAT4,ADCY8,FAT3,PLXNA4,ESAM,VWC2L,NRXN1,DMD,ADAMTSL1,EPHA3,DSCAM,GRIN2B,GABRB1,NETO1,KCNIP4,TMEFF2,NCAM2,TACR3,RYR3,PRKG1,TRPM3,NLGN1,SLIT2,GRIK1,CNTN5"
"GO:CC","plasma membrane","GO:0005886","false","0.000010735636061598399","4.9691722195221955","6567","40","26","27262","GSG1L2,SLITRK6,FAT4,ADCY8,FAT3,PLXNA4,ESAM,VWC2L,NRXN1,DMD,EPHA3,DSCAM,GRIN2B,GABRB1,NETO1,KCNIP4,TMEFF2,NCAM2,TACR3,RYR3,PRKG1,TRPM3,NLGN1,SLIT2,GRIK1,CNTN5"
"GO:CC","excitatory synapse","GO:0060076","false","0.00004196903870326856","4.37707097814727","88","40","5","27262","ADCY8,PLXNA4,NRXN1,NETO1,NLGN1"
"GO:CC","neuron projection","GO:0043005","true","0.00007124575121706151","4.14724102995811","1633","40","13","27262","ADCY8,FAT3,NRXN1,DMD,DSCAM,GABRB1,NETO1,KCNIP4,NCAM2,TACR3,NLGN1,CNTNAP5A,CNTN5"
"GO:CC","synapse","GO:0045202","false","0.00009659464507554035","4.015046948932387","1677","40","13","27262","ADCY8,PLXNA4,VWC2L,NRXN1,DMD,DSCAM,GRIN2B,GABRB1,NETO1,PHACTR1,NLGN1,GRIK1,CNTN5"
"GO:CC","membrane","GO:0016020","false","0.0004257032699240213","3.3708930138949693","10310","40","30","27262","GSG1L2,SLITRK6,FAT4,LARGE1,ADCY8,FAT3,PLXNA4,ESAM,VWC2L,NRXN1,DMD,LHFPL3,EPHA3,DSCAM,GRIN2B,GABRB1,NETO1,KCNIP4,TMEFF2,NCAM2,TACR3,RYR3,PRKG1,TRPM3,NLGN1,GALNTL6,SLIT2,GRIK1,CNTNAP5A,CNTN5"
"GO:CC","cell junction","GO:0030054","false","0.0005436428555546146","3.264686315005628","2294","40","14","27262","ADCY8,PLXNA4,ESAM,VWC2L,NRXN1,DMD,DSCAM,GRIN2B,GABRB1,NETO1,PHACTR1,NLGN1,GRIK1,CNTN5"
"GO:CC","somatodendritic compartment","GO:0036477","false","0.000807944479284791","3.0926184822559946","1120","40","10","27262","ADCY8,FAT3,NRXN1,DMD,DSCAM,GABRB1,KCNIP4,TACR3,NLGN1,PDE1A"
"GO:CC","plasma membrane bounded cell projection","GO:0120025","false","0.0016145922158267109","2.791937145641562","2517","40","14","27262","ADCY8,FAT3,NRXN1,DMD,DSCAM,GABRB1,NETO1,KCNIP4,NCAM2,TACR3,NLGN1,PDE1A,CNTNAP5A,CNTN5"
"GO:CC","postsynaptic membrane","GO:0045211","false","0.0018844021733444756","2.724826403547066","332","40","6","27262","DMD,GRIN2B,GABRB1,NETO1,NLGN1,GRIK1"
"GO:CC","cell projection","GO:0042995","false","0.0025334604514840185","2.5962858708626797","2617","40","14","27262","ADCY8,FAT3,NRXN1,DMD,DSCAM,GABRB1,NETO1,KCNIP4,NCAM2,TACR3,NLGN1,PDE1A,CNTNAP5A,CNTN5"
"GO:CC","plasma membrane region","GO:0098590","false","0.0064159144909201864","2.192741432811328","1420","40","10","27262","ADCY8,NRXN1,DMD,GRIN2B,GABRB1,NETO1,TACR3,NLGN1,GRIK1,CNTN5"
"GO:CC","protein complex involved in cell-cell adhesion","GO:0098635","true","0.007002021067609649","2.154776586868208","6","40","2","27262","NRXN1,NLGN1"
"GO:CC","GABA-ergic synapse","GO:0098982","false","0.007560966805135991","2.1214226686138704","125","40","4","27262","NRXN1,GABRB1,NLGN1,CNTN5"
"GO:CC","Schaffer collateral - CA1 synapse","GO:0098685","false","0.00992334008714985","2.0033421244923955","134","40","4","27262","ADCY8,NRXN1,GABRB1,NETO1"
"GO:CC","neuron to neuron synapse","GO:0098984","false","0.015587502335548021","1.8072234684410327","484","40","6","27262","ADCY8,PLXNA4,NRXN1,DMD,NETO1,NLGN1"
"GO:CC","monoatomic ion channel complex","GO:0034702","true","0.01725093120947499","1.7631874566358685","302","40","5","27262","VWC2L,GRIN2B,GABRB1,KCNIP4,RYR3"
"GO:CC","neuronal cell body","GO:0043025","false","0.02116123740059623","1.6744589405811594","746","40","7","27262","ADCY8,NRXN1,DMD,DSCAM,KCNIP4,TACR3,PDE1A"
"GO:CC","axon","GO:0030424","false","0.03139762472434152","1.5031032056888978","795","40","7","27262","ADCY8,NRXN1,DMD,DSCAM,NETO1,NCAM2,CNTN5"
"GO:CC","dendrite","GO:0030425","false","0.03288880747097584","1.4829518734971","801","40","7","27262","ADCY8,FAT3,DSCAM,GABRB1,KCNIP4,TACR3,NLGN1"
"GO:CC","dendritic tree","GO:0097447","false","0.033398493076131144","1.4762731279035515","803","40","7","27262","ADCY8,FAT3,DSCAM,GABRB1,KCNIP4,TACR3,NLGN1"
"GO:CC","cell body","GO:0044297","false","0.04154107763029031","1.381522241483679","832","40","7","27262","ADCY8,NRXN1,DMD,DSCAM,KCNIP4,TACR3,PDE1A"
