"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","multicellular organismal process","GO:0032501","false","0.002142166455982917","2.66914678555546","9152","37","27","27205","EOMES,GABRG3,TENM1,ASTN2,ETV1,OPN4,GABRB1,NPPB,PTPRO,GRID2,TMEM178,DGKG,NR2F2,ADAMTS2,SLC8A1,IGF1,IL1RAPL2,LMO1,PRKCQ,GUCY1A1,ATP2B4,OPRM1,ADAMTS5,SFRP2,COCH,CNTNAP5C,DAB1"
"GO:BP","anatomical structure morphogenesis","GO:0009653","false","0.002668287224523845","2.573767423139376","2787","37","15","27205","EOMES,WDR72,ASTN2,ETV1,OPN4,PTPRO,GRID2,NR2F2,IGF1,CDH12,ATP2B4,ADAMTS5,SFRP2,COCH,DAB1"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.0037100252369114055","2.4306231361493515","280","37","6","27205","TENM1,GRID2,CDH12,PCDH11X,PCDH7,DAB1"
"GO:BP","cell adhesion","GO:0007155","false","0.004534206315629085","2.3434987224757826","1463","37","11","27205","SPON1,TENM1,ASTN2,GRID2,IGF1,PRKCQ,CDH12,PCDH11X,CNTNAP5C,PCDH7,DAB1"
"GO:BP","regulation of postsynaptic membrane potential","GO:0060078","true","0.005019143115954158","2.2993704206592427","163","37","5","27205","GABRG3,GRIA3,GABRB1,GRID2,OPRM1"
"GO:BP","cell-cell adhesion","GO:0098609","false","0.005610761374037072","2.2509782014698962","923","37","9","27205","TENM1,ASTN2,GRID2,IGF1,PRKCQ,CDH12,PCDH11X,PCDH7,DAB1"
"GO:BP","cell migration","GO:0016477","true","0.007537772109360176","2.1227569967807427","1542","37","11","27205","EOMES,ASTN2,PTPRO,NR2F2,SLC8A1,IGF1,PRKCQ,ATP2B4,SFRP2,DAB1,IGFBP6"
"GO:BP","second-messenger-mediated signaling","GO:0019932","true","0.008593288819531784","2.0658405913704456","324","37","6","27205","NPPB,SLC8A1,IGF1,GUCY1A1,ATP2B4,OPRM1"
"GO:BP","brain development","GO:0007420","false","0.017632603993018765","1.753683546107434","797","37","8","27205","EOMES,GRID2,NR2F2,SLC8A1,IGF1,ATP2B4,SFRP2,DAB1"
"GO:BP","regulation of biological quality","GO:0065008","true","0.017853517705691095","1.7482762014197877","3244","37","15","27205","GABRG3,GRIA3,GABRB1,NPPB,PTPRO,GRID2,NR2F2,SLC8A1,IGF1,IL1RAPL2,PRKCQ,GUCY1A1,ATP2B4,OPRM1,COCH"
"GO:BP","regulation of multicellular organismal process","GO:0051239","false","0.017989357043182483","1.7449843584770117","3246","37","15","27205","NPPB,PTPRO,GRID2,TMEM178,NR2F2,SLC8A1,IGF1,LMO1,PRKCQ,GUCY1A1,ATP2B4,OPRM1,ADAMTS5,SFRP2,DAB1"
"GO:BP","central nervous system development","GO:0007417","false","0.019549492577483448","1.7088645105780302","1077","37","9","27205","EOMES,GABRB1,GRID2,NR2F2,SLC8A1,IGF1,ATP2B4,SFRP2,DAB1"
"GO:BP","cell motility","GO:0048870","false","0.02345406321379983","1.6297819086644771","1737","37","11","27205","EOMES,ASTN2,PTPRO,NR2F2,SLC8A1,IGF1,PRKCQ,ATP2B4,SFRP2,DAB1,IGFBP6"
"GO:BP","animal organ development","GO:0048513","false","0.02424628100691108","1.6153548658055794","3326","37","15","27205","EOMES,WDR72,ETV1,OPN4,NPPB,PTPRO,GRID2,NR2F2,ADAMTS2,SLC8A1,IGF1,ATP2B4,ADAMTS5,SFRP2,DAB1"
"GO:BP","head development","GO:0060322","false","0.028104023543373182","1.5512314993976144","850","37","8","27205","EOMES,GRID2,NR2F2,SLC8A1,IGF1,ATP2B4,SFRP2,DAB1"
"GO:BP","regulation of system process","GO:0044057","false","0.04355070426274408","1.361004817580531","649","37","7","27205","NPPB,PTPRO,SLC8A1,IGF1,GUCY1A1,ATP2B4,OPRM1"
"GO:BP","negative regulation of multicellular organismal process","GO:0051241","false","0.04588096719737315","1.3383674354949502","1199","37","9","27205","PTPRO,TMEM178,NR2F2,IGF1,GUCY1A1,ATP2B4,ADAMTS5,SFRP2,DAB1"
"GO:CC","synapse","GO:0045202","true","0.00003215782275376092","4.4927133628476055","1677","37","13","27262","GABRG3,GRIA3,GABRB1,PTPRO,GRID2,SLC8A1,IGF1,IL1RAPL2,PRKCQ,GUCY1A1,ATP2B4,OPRM1,DAB1"
"GO:CC","somatodendritic compartment","GO:0036477","false","0.000036141317323302304","4.441996021785753","1120","37","11","27262","GABRG3,GRIA3,ASTN2,OPN4,GABRB1,PTPRO,GRID2,SLC8A1,IGF1,OPRM1,DAB1"
"GO:CC","synaptic membrane","GO:0097060","false","0.000049046598685550094","4.309391104967326","485","37","8","27262","GABRG3,GRIA3,GABRB1,PTPRO,GRID2,SLC8A1,ATP2B4,OPRM1"
"GO:CC","postsynaptic membrane","GO:0045211","false","0.000059187915359096003","4.227766955922464","332","37","7","27262","GABRG3,GRIA3,GABRB1,PTPRO,GRID2,SLC8A1,OPRM1"
"GO:CC","GABA-ergic synapse","GO:0098982","false","0.00015287524976011706","3.8156628204259637","125","37","5","27262","GABRG3,GABRB1,PTPRO,GUCY1A1,OPRM1"
"GO:CC","cell junction","GO:0030054","false","0.00017216526800454477","3.764054457036582","2294","37","14","27262","GABRG3,GRIA3,GABRB1,PTPRO,GRID2,SLC8A1,IGF1,IL1RAPL2,PRKCQ,GUCY1A1,CDH12,ATP2B4,OPRM1,DAB1"
"GO:CC","neuron projection","GO:0043005","false","0.00019674958767750654","3.70608616910649","1633","37","12","27262","GABRG3,GRIA3,TENM1,OPN4,GABRB1,PTPRO,GRID2,SLC8A1,ATP2B4,OPRM1,CNTNAP5C,DAB1"
"GO:CC","postsynapse","GO:0098794","false","0.00037268670515856815","3.4286560995436006","866","37","9","27262","GABRG3,GRIA3,GABRB1,PTPRO,GRID2,SLC8A1,IGF1,OPRM1,DAB1"
"GO:CC","cell periphery","GO:0071944","true","0.0007375064784510294","3.1322341603760018","7048","37","23","27262","GABRG3,SPON1,GRIA3,TENM1,ASTN2,OPN4,GABRB1,PTPRO,GRID2,DGKG,ADAMTS2,SLC8A1,IGF1,PRKCQ,CDH12,ATP2B4,OPRM1,ADAMTS5,COCH,PCDH11X,SLC44A5,PCDH7,IGFBP6"
"GO:CC","dendrite","GO:0030425","false","0.002051869626837345","2.6878502371975914","801","37","8","27262","GABRG3,GRIA3,OPN4,GABRB1,PTPRO,GRID2,SLC8A1,OPRM1"
"GO:CC","dendritic tree","GO:0097447","false","0.002089377006224653","2.679983189052586","803","37","8","27262","GABRG3,GRIA3,OPN4,GABRB1,PTPRO,GRID2,SLC8A1,OPRM1"
"GO:CC","collagen-containing extracellular matrix","GO:0062023","false","0.002226390117995658","2.6523987343193065","375","37","6","27262","SPON1,ADAMTS2,IGF1,ADAMTS5,COCH,IGFBP6"
"GO:CC","dendritic spine","GO:0043197","false","0.002715853746517906","2.5660936212805106","225","37","5","27262","GRIA3,PTPRO,GRID2,SLC8A1,OPRM1"
"GO:CC","plasma membrane bounded cell projection","GO:0120025","false","0.0030813757661190587","2.5112553373204856","2517","37","13","27262","GABRG3,GRIA3,TENM1,OPN4,GABRB1,PTPRO,GRID2,SLC8A1,ATP2B4,OPRM1,PCDH11X,CNTNAP5C,DAB1"
"GO:CC","neuron spine","GO:0044309","false","0.0030832568973599515","2.5109902882940114","231","37","5","27262","GRIA3,PTPRO,GRID2,SLC8A1,OPRM1"
"GO:CC","glutamatergic synapse","GO:0098978","false","0.0032884658279833993","2.483006666742342","610","37","7","27262","GRIA3,PTPRO,GRID2,IGF1,IL1RAPL2,GUCY1A1,ATP2B4"
"GO:CC","insulin-like growth factor binding protein complex","GO:0016942","true","0.003771471138663823","2.423489211391495","5","37","2","27262","IGF1,IGFBP6"
"GO:CC","cell projection","GO:0042995","false","0.004686498404162396","2.3291515265228284","2617","37","13","27262","GABRG3,GRIA3,TENM1,OPN4,GABRB1,PTPRO,GRID2,SLC8A1,ATP2B4,OPRM1,PCDH11X,CNTNAP5C,DAB1"
"GO:CC","growth factor complex","GO:0036454","false","0.010533034054859796","1.9774465116743063","8","37","2","27262","IGF1,IGFBP6"
"GO:CC","neuronal cell body","GO:0043025","false","0.011859580928785968","1.9259306569693389","746","37","7","27262","GRIA3,ASTN2,OPN4,SLC8A1,IGF1,OPRM1,DAB1"
"GO:CC","extracellular matrix","GO:0031012","false","0.011942820633578499","1.9228930902142047","506","37","6","27262","SPON1,ADAMTS2,IGF1,ADAMTS5,COCH,IGFBP6"
"GO:CC","postsynaptic specialization membrane","GO:0099634","false","0.012100928057838554","1.9171813210106423","155","37","4","27262","GRIA3,GABRB1,PTPRO,GRID2"
"GO:CC","presynaptic active zone membrane","GO:0048787","false","0.01213198185278979","1.9160682479854385","55","37","3","27262","GRIA3,GABRB1,ATP2B4"
"GO:CC","external encapsulating structure","GO:0030312","false","0.012206342040632935","1.913414464604053","508","37","6","27262","SPON1,ADAMTS2,IGF1,ADAMTS5,COCH,IGFBP6"
"GO:CC","sarcolemma","GO:0042383","true","0.01853058157242132","1.7321109503664818","173","37","4","27262","SLC8A1,PRKCQ,ATP2B4,OPRM1"
"GO:CC","plasma membrane region","GO:0098590","false","0.019181328424314685","1.7171213185745753","1420","37","9","27262","GABRG3,GRIA3,OPN4,GABRB1,PTPRO,GRID2,SLC8A1,ATP2B4,OPRM1"
"GO:CC","cell body","GO:0044297","false","0.023474342752246434","1.6294065585109898","832","37","7","27262","GRIA3,ASTN2,OPN4,SLC8A1,IGF1,OPRM1,DAB1"
"GO:CC","perikaryon","GO:0043204","true","0.04050188178956367","1.392524798221434","212","37","4","27262","GRIA3,ASTN2,OPN4,OPRM1"
